Rev, Name, Targeted, Satellite, Epoch_SCET, DOY, Alt_km, in_out, Speed_km_s, Phase_deg
12, 12TI, , Titan, 2005-Aug-06 12:33, 218, 837688, out, 3.8, 62
13, 13TE, , Tethys, 2005-Aug-20 07:02, 232, 122848, in, 12.4, 123
13, 13TL, , Telesto, 2005-Aug-20 12:13, 232, 105278, out, 7.8, 67
13, 13TI, T6, Titan, 2005-Aug-22 08:54, 234, 3660, out, 5.9, 44
14, 14AE, , Aegaeon, 2005-Sep-05 10:48, 248, 8517, in, 8.1, 115
14, 14PA, , Pandora, 2005-Sep-05 11:31, 248, 51938, in, 7.0, 57
14, 14PM, , Prometheus, 2005-Sep-05 11:32, 248, 102397, in, 14.6, 151
14, 14ME, , Methone, 2005-Sep-05 13:57, 248, 63025, out, 10.2, 91
14, 14TI, T7, Titan, 2005-Sep-07 08:12, 250, 1075, out, 6.1, 85
15, 15CA, , Calypso, 2005-Sep-23 18:51, 266, 91043, in, 7.0, 83
15, 15MI, , Mimas, 2005-Sep-23 19:40, 266, 70011, in, 11.8, 133
15, 15PM, , Prometheus, 2005-Sep-23 22:26, 266, 98010, out, 7.6, 159
15, 15TE, TE, Tethys, 2005-Sep-24 02:42, 267, 1495, out, 9.0, 68
15, 15TI, , Titan, 2005-Sep-24 22:47, 267, 911727, out, 10.7, 149
15, 15HY, HY, Hyperion, 2005-Sep-26 02:25, 269, 479, out, 5.6, 48
16, 16TI, , Titan, 2005-Oct-10 22:22, 283, 776295, in, 9.7, 65
16, 16DI, D1, Dione, 2005-Oct-11 17:52, 284, 499, in, 9.1, 66
16, 16TL, , Telesto, 2005-Oct-11 20:26, 284, 9534, in, 8.7, 63
16, 16PL, , Pallene, 2005-Oct-11 22:48, 284, 50439, in, 10.8, 125
16, 16AT, , Atlas, 2005-Oct-12 01:55, 285, 55662, out, 4.0, 143
16, 16EN, , Enceladus, 2005-Oct-12 03:03, 285, 49076, out, 6.8, 73
17, 17TI, T8, Titan, 2005-Oct-28 04:15, 301, 1353, in, 5.9, 105
17, 17ME, , Methone, 2005-Oct-29 21:37, 302, 98875, in, 2.1, 57
17, 17CA, , Calypso, 2005-Oct-30 02:50, 303, 107870, out, 9.4, 66
18, 18RH, R1, Rhea, 2005-Nov-26 22:38, 330, 504, in, 7.3, 87
18, 18EN, , Enceladus, 2005-Nov-27 10:25, 331, 107851, in, 7.5, 134
18, 18HE, , Helene, 2005-Nov-27 14:37, 331, 86435, out, 5.5, 87
19, 19EN, , Enceladus, 2005-Dec-24 20:29, 358, 94054, in, 6.7, 133
19, 19PL, , Pallene, 2005-Dec-24 22:26, 358, 107286, out, 4.4, 142
19, 19TL, , Telesto, 2005-Dec-25 00:44, 359, 19275, out, 5.9, 70
19, 19HE, , Helene, 2005-Dec-25 01:45, 359, 74718, out, 5.4, 90
19, 19TI, T9, Titan, 2005-Dec-26 18:59, 360, 10411, out, 5.6, 67
20, 20TI, T10, Titan, 2006-Jan-15 11:41, 015, 2043, in, 5.8, 120
21, 21HE, , Helene, 2006-Feb-25 4:48, 056, 67546, in, 7.1, 92
21, 21TI, T11, Titan, 2006-Feb-27 08:25, 058, 1812, out, 5.9, 92
22, 22TI, T12, Titan, 2006-Mar-19 00:06, 078, 1949, in, 5.8, 148
22, 22RH, , Rhea, 2006-Mar-21 07:16, 080, 82001, out, 5.3, 137
23, 23TI, T13, Titan, 2006-Apr-30 20:58, 120, 1856, out, 5.8, 121
24, 24TI, T14, Titan, 2006-May-20 12:18, 140, 1879, in, 5.8, 163
24, 24PO, , Polydeuces, 2006-May-22 14:53, 142, 64090, out, 6.9, 19
25, 25TI, T15, Titan, 2006-Jul-02 09:21, 183, 1906, out, 5.8, 148
26, 26TI, T16, Titan, 2006-Jul-22 00:25, 203, 950, in, 6.0, 105
26, 26TE, , Tethys, 2006-Jul-23 17:18, 204, 119806, in, 9.9, 29
26, 26AE, , Aegaeon, 2006-Jul-23 22:46, 204, 93380, out, 3.8, 16
26, 26TL, , Telesto, 2006-Jul-24 01:58, 205, 44779, out, 8.6, 39
27, 27HE, , Helene, 2006-Aug-17 03:29, 229, 48728, out, 7.7, 122
27, 27TI, , Titan, 2006-Aug-18 17:50, 230, 339768, out, 4.8, 121
28, 28TI, T17, Titan, 2006-Sep-07 20:17, 250, 1000, in, 6, 45
28, 28AT, , Atlas, 2006-Sep-09 17:33, 252, 119823, in, 15, 47
28, 28ME, , Methone, 2006-Sep-09 19:17, 252, 15114, out, 10.2, 62
28, 28CA, , Calypso, 2006-Sep-09 19:24, 252, 107225, out, 9.7, 162
28, 28EN, , Enceladus, 2006-Sep-09 20:06, 252, 39935, out, 10.4, 111
29, 29TI, T18, Titan, 2006-Sep-23 18:59, 266, 960, in, 6, 90
29, 29AE, , Aegaeon, 2006-Sep-25 20:19, 268, 107429, out, 11.8, 29
29, 29ME, , Methone, 2006-Sep-25 21:45, 268, 63839, out, 10.1, 39
30, 30TI, T19, Titan, 2006-Oct-09 17:30, 282, 980, in, 6, 81
31, 31TI, T20, Titan, 2006-Oct-25 15:58, 298, 1030, in, 6, 25
32, 32EN, , Enceladus, 2006-Nov-09 01:48, 313, 90220, out, 14, 26
32, 32CA, , Calypso, 2006-Nov-09 03:45, 313, 116096, out, 11.7, 111
33, 33DI, , Dione, 2006-Nov-21 02:28, 325, 74996, out, 12.2, 147
33, 33TI, , Titan, 2006-Nov-21 13:36, 325, 973182, out, 8, 78
33, 33TI, , Titan, 2006-Nov-25 13:29, 329, 925037, out, 4.5, 115
34, 34TI, , Titan, 2006-Dec-02 23:17, 336, 945245, out, 12.2, 159
34, 34TL, , Telesto, 2006-Dec-03 01:20, 337, 102514, out, 12.1, 111
35, 35TI, T21, Titan, 2006-Dec-12 11:42, 346, 1000, in, 5.9, 125
36, 36TI, T22, Titan, 2006-Dec-28 10:05, 362, 1297, in, 5.9, 62
37, 37TI, T23, Titan, 2007-Jan-13 08:39, 013, 1000, in, 6, 53
38, 38TI, T24, Titan, 2007-Jan-29 07:16, 029, 2631, in, 5.8, 72
38, 38TI, , Titan, 2007-Feb-05 07:42, 036, 910072, out, 5.9, 114
39, 39TI, , Titan, 2007-Feb-15 03:10, 046, 867510, in, 5.5, 128
39, 39TI, T25, Titan, 2007-Feb-22 03:12, 053, 1000, out, 6.2, 161
40, 40TI, T26, Titan, 2007-Mar-10 01:49, 069, 981, out, 6.2, 150
41, 41TI, T27, Titan, 2007-Mar-26 00:23, 085, 1010, out, 6.2, 144
42, 42TI, T28, Titan, 2007-Apr-10 22:58, 100, 991, out, 6.2, 137
43, 43DI, , Dione, 2007-Apr-24 14:52, 114, 114225, in, 11.4, 69
43, 43TL, , Telesto, 2007-Apr-24 16:00, 114, 107376, in, 11.1, 99
43, 43TI, T29, Titan, 2007-Apr-26 21:33, 116, 981, out, 6.2, 130
44, 44TI, T30, Titan, 2007-May-12 20:10, 132, 959, out, 6.2, 122
45, 45TE, , Tethys, 2007-May-26 20:47, 146, 102788, in, 12, 78
45, 45EP, , Epimetheus, 2007-May-26 23:13, 146, 58279, in, 8.7, 148
45, 45TI, T31, Titan, 2007-May-28 18:52, 148, 2299, out, 6.1, 114
46, 46MI, , Mimas, 2007-Jun-11 23:03, 162, 111975, in, 16.7, 95
46, 46AT, , Atlas, 2007-Jun-12 00:12, 163, 34017, in, 7.5, 117
46, 46PM, , Prometheus, 2007-Jun-12 00:19, 163, 69717, in, 11.7, 79
46, 46EP, , Epimetheus, 2007-Jun-12 00:58, 163, 80596, out, 10.6, 144
46, 46ME, , Methone, 2007-Jun-12 02:26, 163, 61696, out, 9, 100
46, 46TI, T32, Titan, 2007-Jun-13 17:46, 164, 965, out, 6.2, 107
47, 47TE, , Tethys, 2007-Jun-27 19:43, 178, 18418, in, 10.6, 116
47, 47ME, , Methone, 2007-Jun-27 22:23, 178, 22643, in, 10.9, 114
47, 47MI, , Mimas, 2007-Jun-27 22:48, 178, 102916, in, 17, 110
47, 47AE, , Aegaeon, 2007-Jun-27 23:13, 178, 15434, in, 9.4, 107
47, 47EN, , Enceladus, 2007-Jun-28 00:52, 179, 88670, in, 9.3, 54
47, 47PM, , Prometheus, 2007-Jun-28 01:43, 179, 35160, out, 9.1, 153
47, 47EP, , Epimetheus, 2007-Jun-28 02:08, 179, 86622, out, 15.7, 153
47, 47RH, , Rhea, 2007-Jun-28 12:00, 179, 104383, out, 10.7, 105
47, 47TI, T33, Titan, 2007-Jun-29 17:00, 180, 1933, out, 6.2, 96
48, 48TI, T34, Titan, 2007-Jul-19 01:11, 200, 1332, in, 6.2, 34
48, 48HE, , Helene, 2007-Jul-20 17:18, 201, 38262, in, 4.7, 55
48, 48TE, , Tethys, 2007-Jul-20 18:16, 201, 95188, in, 6.5, 94
49, 49TE, , Tethys, 2007-Aug-29 11:14, 241, 55393, in, 4.8, 102
49, 49RH, , Rhea, 2007-Aug-30 01:19, 242, 5727, out, 6.7, 46
49, 49TI, T35, Titan, 2007-Aug-31 06:33, 243, 3324, out, 6.1, 87
49, 49IA, IA, Iapetus, 2007-Sep-10 14:16, 253, 1622, out, 2.4, 59
50, 50DI, , Dione, 2007-Sep-30 05:48, 273, 43434, in, 5.7, 49
50, 50EN, , Enceladus, 2007-Sep-30 10:51, 273, 101494, in, 6.5, 95
50, 50TL, , Telesto, 2007-Sep-30 15:08, 273, 75929, out, 7.7, 163
50, 50TI, T36, Titan, 2007-Oct-02 04:43, 275, 973, out, 6.3, 67
51, 51HY, , Hyperion, 2007-Oct-21 15:01, 294, 121742, in, 4.9, 116
51, 51TI, , Titan, 2007-Oct-22 01:12, 295, 438395, in, 4.2, 30
51, 51HE, , Helene, 2007-Oct-24 00:33, 297, 23943, in, 7.7, 76
51, 51PM, , Prometheus, 2007-Oct-24 06:30, 297, 104597, in, 1.5, 166
52, 52RH, , Rhea, 2007-Nov-16 19:43, 320, 91621, in, 9.3, 150
52, 52AE, , Aegaeon, 2007-Nov-17 06:15, 321, 99722, in, 3.3, 150
52, 52PA, , Pandora, 2007-Nov-17 06:59, 321, 93408, in, 1.6, 163
52, 52PN, , Pan, 2007-Nov-17 08:05, 321, 96662, out, 1.3, 138
52, 52EP, , Epimetheus, 2007-Nov-17 09:20, 321, 99466, out, 1.9, 102
52, 52CA, , Calypso, 2007-Nov-17 12:35, 321, 87970, out, 10.5, 147
52, 52TI, T37, Titan, 2007-Nov-19 00:47, 323, 999, out, 6.3, 51
53, 53TL, , Telesto, 2007-Dec-03 05:23, 337, 119571, in, 8.9, 20
53, 53MI, , Mimas, 2007-Dec-03 05:26, 337, 84254, in, 15.0, 139
53, 53AE, , Aegaeon, 2007-Dec-03 06:03, 337, 81098, in, 15.0, 131
53, 53EP, , Epimetheus, 2007-Dec-03 06:52, 337, 9176, in, 7.6, 141
53, 53TI, T38, Titan, 2007-Dec-05 00:07, 339, 1298, out, 6.3, 70
54, 54TI, T39, Titan, 2007-Dec-20 22:58, 354, 970, out, 6.3, 61
55, 55DI, , Dione, 2008-Jan-03 20:13, 003, 121807, in, 11.1, 76
55, 55PL, , Pallene, 2008-Jan-03 21:52, 003, 105665, in, 9.4, 120
55, 55JA, , Janus, 2008-Jan-03 22:11, 003, 118143, in, 10.1, 154
55, 55DA, , Daphnis, 2008-Jan-03 22:50, 003, 119011, in, 10.4, 157
55, 55PM, , Prometheus, 2008-Jan-03 23:11, 003, 112567, in, 10.5, 152
55, 55PA, , Pandora, 2008-Jan-04 00:34, 004, 123127, in, 11.3, 119
55, 55TI, T40, Titan, 2008-Jan-05 21:30, 005, 1014, out, 6.3, 38
56, 56ME, , Methone, 2008-Jan-15 21:11, 015, 15619, in, 13.7, 142
56, 56PA, , Pandora, 2008-Jan-15 22:20, 015, 95184, in, 16.2, 116
57, 57TI, , Titan, 2008-Jan-22 21:22, 022, 855500, in, 4.5, 69
57, 57TI, , Titan, 2008-Jan-27 12:32, 027, 985542, in, 9.4, 60
57, 57AT, , Atlas, 2008-Jan-27 19:15, 027, 75196, in, 13.6, 151
57, 57EP, , Epimetheus, 2008-Jan-27 20:17, 027, 89731, in, 16.2, 116
57, 57PM, , Prometheus, 2008-Jan-27 20:18, 027, 82364, in, 15.4, 125
57, 57PA, , Pandora, 2008-Jan-27 20:45, 027, 114392, in, 17.3, 109
58, 58EP, , Epimetheus, 2008-Feb-08 17:00, 039, 116982, in, 13.4, 121
58, 58PA, , Pandora, 2008-Feb-08 19:23, 039, 114439, in, 17.3, 110
58, 58AT, , Atlas, 2008-Feb-08 19:26, 039, 114719, out, 17.2, 110
59, 59PN, , Pan, 2008-Feb-20 17:51, 051, 79785, in, 13.8, 152
59, 59PM, , Prometheus, 2008-Feb-20 18:19, 051, 65853, in, 14.2, 152
59, 59PA, , Pandora, 2008-Feb-20 18:29, 051, 66345, in, 14.5, 145
59, 59JA, , Janus, 2008-Feb-20 19:08, 051, 110348, in, 17.3, 111
59, 59TI, T41, Titan, 2008-Feb-22 17:32, 053, 1000, out, 6.3, 30
60, 60DA, , Daphnis, 2008-Mar-02 03:45, 062, 97746, in, 15.8, 155
60, 60PM, , Prometheus, 2008-Mar-02 04:16, 062, 99681, in, 16.3, 141
61, 61TI, , Titan, 2008-Mar-10 19:50, 070, 918312, in, 6.3, 124
61, 61EN, E3, Enceladus, 2008-Mar-12 19:06, 072,  48, in, 14.4, 137
61, 61DA, , Daphnis, 2008-Mar-12 20:15, 072, 104056, in, 16.4, 139
62, 62PL, , Pallene, 2008-Mar-23 10:37, 083, 32686, in, 15.0, 135
62, 62EP, , Epimetheus, 2008-Mar-23 10:55, 083, 84179, in, 15.6, 152
62, 62ME, , Methone, 2008-Mar-23 11:24, 083, 102765, in, 17.0, 114
62, 62TI, T42, Titan, 2008-Mar-25 14:28, 085, 999, out, 6.3, 21
63, 63TI, , Titan, 2008-Apr-01 15:53, 092, 973783, in, 12.9, 36
63, 63PL, , Pallene, 2008-Apr-01 17:20, 092, 104466, in, 14.8, 123
63, 63AE, , Aegaeon, 2008-Apr-01 18:17, 092, 103559, in, 15.9, 157
63, 63JA, , Janus, 2008-Apr-01 19:09, 092, 117131, in, 16.6, 148
64, 64MI, , Mimas, 2008-Apr-11 09:29, 102, 106553, in, 17.1, 129
65, 65MI, , Mimas, 2008-Apr-20 20:44, 111, 116382, in, 15.6, 135
65, 65TL, , Telesto, 2008-Apr-20 21:47, 111, 77619, in, 15.5, 88
65, 65EP, , Epimetheus, 2008-Apr-20 22:34, 111, 119101, in, 16.8, 148
66, 66TI, , Titan, 2008-Apr-26 18:57, 117, 780171, in, 5.5, 94
66, 66TL, , Telesto, 2008-Apr-30 10:26, 121, 35745, in, 14.5, 45
66, 66PL, , Pallene, 2008-Apr-30 11:51, 121, 93069, in, 16.4, 123
67, 67ME, , Methone, 2008-May-09 23:36, 130, 95843, in, 15.2, 138
67, 67JA, , Janus, 2008-May-10 00:06, 131, 120788, in, 16.3, 156
67, 67TI, T43, Titan, 2008-May-12 10:02, 133, 1001, out, 6.3, 36
68, 68CA, , Calypso, 2008-May-17 23:03, 138, 111501, in, 18.4, 52
68, 68ME, , Methone, 2008-May-17 23:36, 138, 78909, in, 20.1, 105
68, 68EP, , Epimetheus, 2008-May-18 00:05, 139, 98913, out, 21.5, 118
69, 69AE, , Aegaeon, 2008-May-25 21:56, 146, 52212, in, 19.0, 119
69, 69PL, , Pallene, 2008-May-25 22:06, 146, 28257, in, 18.3, 51
69, 69AT, , Atlas, 2008-May-25 22:14, 146, 60519, in, 19.9, 155
69, 69JA, , Janus, 2008-May-25 22:50, 146, 63866, in, 20.4, 134
69, 69TI, T44, Titan, 2008-May-28 08:25, 149, 1400, out, 6.3, 21
70, 70PL, , Pallene, 2008-Jun-01 22:01, 153, 115591, in, 21.4, 66
70, 70JA, , Janus, 2008-Jun-01 22:14, 153, 32923, in, 22.1, 109
71, 71PN, , Pan, 2008-Jun-09 00:43, 161, 116078, in, 23.6, 103
71, 71PA, , Pandora, 2008-Jun-09 02:16, 161, 64064, out, 23.5, 119
72, 72TI, , Titan, 2008-Jun-13 04:28, 165, 364575, in, 5.8, 88
72, 72EP, , Epimetheus, 2008-Jun-16 05:00, 168, 23096, in, 22.5, 127
72, 72PM, , Prometheus, 2008-Jun-16 05:03, 168, 31846, in, 22.8, 142
72, 72ME, , Methone, 2008-Jun-16 05:19, 168, 113224, out, 23.3, 100
73, 73ME, , Methone, 2008-Jun-23 08:06, 175, 55474, in, 21.9, 76
73, 73PN, , Pan, 2008-Jun-23 08:18, 175, 48789, in, 23.3, 132
74, 74TI, , Titan, 2008-Jun-28 15:58, 180, 729792, in, 7.9, 107
74, 74PM, , Prometheus, 2008-Jun-30 08:16, 182, 65577, in, 22.6, 106
74, 74EN, , Enceladus, 2008-Jun-30 08:47, 182, 83739, in, 21.1, 49
74, 74JA, , Janus, 2008-Jun-30 08:58, 182, 29622, in, 22.6, 124
74, 74ME, , Methone, 2008-Jun-30 09:05, 182, 84850, in, 22.5, 92
74, 74AE, , Aegaeon, 2008-Jun-30 09:21, 182, 95503, out, 23.7, 107
74, 74AT, , Atlas, 2008-Jun-30 09:22, 182, 73451, out, 24, 119
74, 74TI, , Titan, 2008-Jun-28 15:58, 180, 729792, in, 7.9, 107
74, 74PM, , Prometheus, 2008-Jun-30 08:16, 182, 65577, in, 22.6, 106
74, 74EN, , Enceladus, 2008-Jun-30 08:47, 182, 83739, in, 21.1, 49
74, 74JA, , Janus, 2008-Jun-30 08:58, 182, 29622, in, 22.6, 124
74, 74ME, , Methone, 2008-Jun-30 09:05, 182, 84850, in, 22.5, 92
74, 74AE, , Aegaeon, 2008-Jun-30 09:21, 182, 95503, out, 23.7, 107
74, 74AT, , Atlas, 2008-Jun-30 09:22, 182, 73451, out, 24.0, 119
75, 75JA, , Janus, 2008-Jul-07 08:57, 189, 81936, in, 22.6, 94
75, 75PA, , Pandora, 2008-Jul-07 09:39, 189, 22902, in, 22.6, 159
75, 75ME, , Methone, 2008-Jul-07 10:03, 189, 116251, out, 23.4, 102
76, 76DA, , Daphnis, 2008-Jul-14 10:06, 196, 44006, in, 22.6, 119
76, 76PM, , Prometheus, 2008-Jul-14 10:13, 196, 32627, in, 22.5, 127
76, 76PL, , Pallene, 2008-Jul-14 10:37, 196, 91903, in, 22.1, 84
76, 76TI, , Titan, 2008-Jul-15 21:27, 197, 542891, out, 8.4, 127
77, 77PL, , Pallene, 2008-Jul-21 11:07, 203, 59392, in, 21.0, 26
77, 77AE, , Aegaeon, 2008-Jul-21 11:12, 203, 12269, in, 21.8, 61
77, 77AT, , Atlas, 2008-Jul-21 11:24, 203, 28115, in, 22.7, 155
77, 77DA, , Daphnis, 2008-Jul-21 12:00, 203, 85403, out, 24.4, 118
77, 77PN, , Pan, 2008-Jul-21 12:04, 203, 90510, out, 24.6, 118
78, 78PN, , Pan, 2008-Jul-28 11:25, 210, 97258, in, 23.3, 102
78, 78PM, , Prometheus, 2008-Jul-28 12:19, 210, 24669, in, 22.6, 160
78, 78EP, , Epimetheus, 2008-Jul-28 13:02, 210, 107125, out, 24.6, 113
78, 78TI, T45, Titan, 2008-Jul-31 02:13, 213, 1614, out, 6.2, 49
79, 79MI, , Mimas, 2008-Aug-04 10:28, 217, 121886, in, 19.0, 110
79, 79EP, , Epimetheus, 2008-Aug-04 12:48, 217, 102122, out, 19.9, 143
80, 80ME, , Methone, 2008-Aug-11 20:41, 224, 60459, in, 18.4, 127
80, 80EN, E4, Enceladus, 2008-Aug-11 21:06, 224, 49, in, 17.7, 110
80, 80MI, , Mimas, 2008-Aug-11 21:48, 224, 81519, out, 19.1, 137
80, 80DA, , Daphnis, 2008-Aug-11 21:56, 224, 110008, out, 20.3, 149
81, 81TI, , Titan, 2008-Aug-15 20:47, 228, 302282, in, 5.9, 85
81, 81PL, , Pallene, 2008-Aug-19 06:10, 232, 43656, in, 18.4, 134
81, 81PN, , Pan, 2008-Aug-19 06:45, 232, 114580, out, 20.5, 146
82, 82AT, , Atlas, 2008-Aug-26 14:08, 239, 107606, in, 19.9, 149
83, 83TI, , Titan, 2008-Aug-31 13:13, 244, 603198, in, 6.9, 97
83, 83JA, , Janus, 2008-Sep-02 23:28, 246, 86927, in, 19.4, 156
83, 83ME, , Methone, 2008-Sep-03 00:26, 247, 90494, out, 19.2, 128
84, 84AE, , Aegaeon, 2008-Sep-10 08:44, 254, 74411, in, 19.2, 156
84, 84EP, , Epimetheus, 2008-Sep-10 08:51, 254, 91310, in, 19.6, 155
85, 85TI, , Titan, 2008-Sep-15 23:39, 259, 902601, in, 8.7, 99
85, 85AE, , Aegaeon, 2008-Sep-17 16:08, 261, 108860, in, 19.2, 121
85, 85PA, , Pandora, 2008-Sep-17 16:36, 261, 106172, in, 19.7, 144
85, 85MI, , Mimas, 2008-Sep-17 16:50, 261, 61154, in, 18.3, 139
85, 85CA, , Calypso, 2008-Sep-17 17:19, 261, 60875, in, 17.5, 45
85, 85DA, , Daphnis, 2008-Sep-17 17:56, 261, 108584, out, 20.2, 151
86, 86TE, , Tethys, 2008-Sep-25 01:24, 269, 109900, in, 17.5, 50
86, 86AT, , Atlas, 2008-Sep-25 01:41, 269, 105073, in, 19.9, 150
86, 86PN, , Pan, 2008-Sep-25 02:14, 269, 105262, in, 20.1, 157
